address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"1543 E Meadowbrook Dr, Loveland, OH 45140",4.0,1.0,1490.0,0.2939853076216712,12.345834587905333,1,5,Central,,,Average,,,Aluminum/Vinyl,Residential,OAK KNOLL ESTATES II SEC 2,"1,490","1,490",1,,OAK KNOLL ESTATES NO 2 LOT 74,Frame Garage,500,Frame,1,"12,763",74,,GOSHEN TWP,0.293,SINGLE FAMILY,2022,,,Gas,6,Ranch,950,,,,,Available,,,Central,Public,Public,,,,,,,
"510 Blackhawk Trl, Loveland, OH 45140",4.0,3.0,2216.0,0.4599862258953168,12.316463985344422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018 Cameron Xing, Loveland, OH 45140",3.0,2.0,1404.0,0.1099862258953168,12.301382825334498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"457 Carson Way, Loveland, OH 45140",2.0,2.0,2004.0,0.3,13.125253197848144,,,,,,,,,,,CELESTIAL ESTATES,,,,,CELESTIAL ESTATES SECTION 1 LOT 6,,,,,"13,199",6,,MIAMI TWP,0.303,RESID VACANT LAND,2022,,,,,,,,,,,,,,,Public,Public,,,,,,,
"9609 Allegro Ct, Loveland, OH 45140",3.0,1.5,1686.0,0.4709825528007346,12.675763725937609,1,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,D W HAGUE 2ND SUB,"1,686","3,812",1,1,ALLEGRO CT 100 X 205 LOT 73 HAROLD W HAGUE 2NDSUB,Attached Brick Garage,440,Attached Brick,1,"20,517",73,,SYMMES TOWNSHIP,0.471,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,"1,686",,205,100,RESID-SINGLE FAMILY,Connected,"1,686",1,Central,,,,,2,A,,,
"9042 Symmes Ridge Ln, Loveland, OH 45140",3.0,2.5,2902.0,0.4779843893480257,12.89921982609012,2,,,1,,Average,Concrete Block,,Frame Siding,,SYMMES CREEK SUB,"4,522","5,481",1.5,2,SYMMESRIDGE LN 100 X 210.88 IR LOT 41 SYMMES CREEK SUB BLK C,Attached Frame Garage,600,Attached Frame,1,"20,822",41,,SYMMES TOWNSHIP,0.478,SINGLE FAMILY,2022,,Full,Gas,6,Conventional,"2,001",C,210.88,100,RESID-SINGLE FAMILY,Connected,"1,979",1,Central,,,Finished,,2,A,,,
"1854 Heidelberg Dr, Loveland, OH 45140",3.0,1.0,1195.0,0.25599173553719,12.449018824140563,1,,,,,Good,Concrete,Brick,Brick,,C HUBER HERNERT,"1,195","1,459",1,1,HEIDELBERG DR 84.88 X 140IRR LOT 81 HERBERT C HUBER PL 45-C,Attached Brick Garage,264,Attached Brick,1,"11,151",81,,LOVELAND CITY,0.256,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,"1,195",,140,84.88,RESID-SINGLE FAMILY,Connected,,,Central,,,,,1,A,,,
"9639 Carriage Run Cir, Loveland, OH 45140",3.0,3.0,1574.0,0.16058310376492194,12.765688433465597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9651 Ronbet Dr, Loveland, OH 45140",3.0,2.0,1246.0,2.0,12.47227568630483,2,8,Forced Air,1,1 Opening,Good,Concrete Block,Brick,Masonry,Single Family,SEILCREST ACRES 2,"2,046","2,466",1,1,SEILCREST ACRES 2 #63,Attached Garage,420,Attached,1,"28,500",63,LOVELAND CITY,DEERFIELD TWP,0.6543,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,190,150,,,800,,,,,Finished,,,,,,
"6266 Shagbark Dr, Loveland, OH 45140",4.0,2.5,2196.0,1.229981634527089,13.041261775967287,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,FOREST KNOLL SEC II,"2,196","2,196",2,,FOREST KNOLL SECTION II LOT 81,Masonry/Brick Garage,462,Masonry/Brick,1,"53,579",81,,MIAMI TWP,1.23,SINGLE FAMILY,2022,,Full,Gas,7,Colonial,908,,,,,Available,,1,Central,Public,Public,,,,,,,
"112 Overlook Dr, Loveland, OH 45140",4.0,5.0,3497.0,0.2884986225895317,13.493926933836812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"112 Overlook Dr, Loveland, OH 45140",4.0,3.5,3497.0,0.17128099173553718,13.493926933836812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"841 Old Mill Dr, Loveland, OH 45140",4.0,3.0,3086.0,0.4619834710743801,13.132313708257497,2,10,Central,1,Wood Stove,Average,,,Brick,Residential,PAXTON SOUTH C,"3,136","3,686",2,,PAXTON SOUTH C LOT 21,Masonry/Brick Garage,900,Masonry/Brick,1,"20,125",21,,MIAMI TWP,0.462,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,164",C,,,,Available,550,1,Central,Public,Public,,,,,,,
"6504 Branch Hill Miamiville Rd, Loveland, OH 45140",4.0,2.5,2459.0,8.459986225895317,13.028052697933088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11688 Kosine Dr, Loveland, OH 45140",3.0,1.0,1172.0,0.4599862258953168,12.429216196844383,1,,,1,,Average,Concrete Block,Brick,Brick,,D W HAGUE 2ND SUB,"1,172","2,817",1,1,KOSINE LN 103 X 194.938 IRR LOT 64 HAROLD W HAGUE2ND SUB,Attached Brick Garage,484,Attached Brick,1,"20,038",64,,SYMMES TOWNSHIP,0.46,SINGLE FAMILY,2022,,Full,Gas,6,Conventional,"1,172",,194.94,103,RESID-SINGLE FAMILY,Connected,"1,161",,Central,,,,,2,A,,,
"800 Quailwoods Dr, Loveland, OH 45140",4.0,3.0,1974.0,0.459,12.86099861326992,2,,,1,,Good,Concrete Block,Brick,Frame/Masonry,,PHEASANT HILLS SUB,"1,974","3,244",2,2,QUAILWOODS DR 100 X 200 LOT 49 PHEASANT HILLS SUB BLK A PT 3,Attached Brick Garage,420,Attached Brick,1,"19,994",49,,LOVELAND CITY,0.459,SINGLE FAMILY,2022,,Partial,Gas,7,Conventional,"1,090",A,200,100,RESID-SINGLE FAMILY,Connected,850,1,Central,,,,,2,,,,
"6246 Shagbark Dr, Loveland, OH 45140",3.0,3.0,1816.0,0.45,12.724866438945341,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,FOREST KNOLL SEC II,"1,816","2,018",2,,FOREST KNOLL SECTION II LOT 56,Masonry/Brick Garage,498,Masonry/Brick,1,"19,602",56,,MIAMI TWP,0.45,SINGLE FAMILY,2022,,Full,Gas,6,Colonial,800,,,,,Available,202,1,Central,Public,Public,,,,,,,
"6189 Spires Dr, Loveland, OH 45140",4.0,3.0,2881.0,0.292,12.94084150078094,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 2,"2,881","2,977",2,,ASHTON WOODS SECTION 2 LOT 86,Frame Garage,460,Frame,1,"12,720",86,,MIAMI TWP,0.292,SINGLE FAMILY,2022,,Full,,9,Colonial,529,,,,,,721,1,Central,Public,Public,Finished,,,,,,
"11875 Rich Rd, Symmes Township, OH 45140",3.0,1.0,1493.0,0.7109963269054178,12.429216196844383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11760 Thistlehill Dr, Loveland, OH 45140",3.0,1.0,1423.0,0.4519972451790633,12.724610453802988,1,,,1,,Fair,Concrete Block,Brick,Brick,,HAROLD HAGUE,"1,423","3,286",1,1,THISTLEHILL 113.473 X 175.188 IRR-LOT 84 HAROLDW HAGUE 2ND,Attached Brick Garage,440,Attached Brick,1,"19,689",84,,SYMMES TOWNSHIP,0.452,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,"1,423",,175.19,113.47,RESID-SINGLE FAMILY,Connected,"1,423",,Central,,,,,2,A,,,
"901 Mohican Dr, Loveland, OH 45140",3.0,1.0,1350.0,0.23298898071625343,12.337100907936577,1,,,,,Very Good,Concrete,Brick/Frame,Frame/Masonry,,STONEYBROOK SUB,"1,350","1,350",1,1,MOHICAN DR 85 X 120 IRR LOT 113 STONEYBROOK SUB BLK E,,,,1,"10,149",113,,LOVELAND CITY,0.233,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,350",E,120,85,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"314 Stockton Dr, Loveland, OH 45140",4.0,2.0,1855.0,0.23999081726354454,12.757080058928997,1,,,,,Good,Concrete Block,Brick,Frame/Masonry,,C HUBER HERNERT,"1,855","3,311",2,2,STOCKTON DR 75 X 140 LOT 207 HERBERT C HUBER PLAT NO. 45 D,Attached Brick Garage,546,Attached Brick,1,"10,498",207,,LOVELAND CITY,0.241,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,910,,140,75,RESID-SINGLE FAMILY,Connected,910,1,Central,,,,,2,,,,
"350 Lyon Ave, Loveland, OH 45140",3.0,2.5,2004.0,0.025780532598714417,12.206072645530174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9347 Carriage Run Cir, Loveland, OH 45140",3.0,2.5,1947.0,0.1376951331496786,12.834681304952548,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNE,"1,947","2,345",2,2,VILL.HERITAGE GRN.E #190,Attached Garage,398,Attached,1,"5,998",190,LOVELAND CITY,DEERFIELD TWP,0.1377,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,E,,,,,,1,,,,Finished,,,,,,
"3000 Abby Way, Loveland, OH 45140",3.0,2.0,1872.0,0.223989898989899,12.345834587905333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106 Gamekeepers Ln, Loveland, OH 45140",4.0,3.0,2810.0,0.3056999999999999,13.142166004700508,2,10,Forced Air,1,1 Opening,Good,Concrete,Frame/Masonry,,Single Family,BRANDYWINE LITMIA3,"2,810","2,810",,,,,480,,1,"13,316",154,,LOVELAND,0.3057,SINGLE FAMILY DWELLING,2022,,Full,,,,,,,,,,,1,,,,,,,,,,
"6123 Weber Oaks Dr, Loveland, OH 45140",4.0,3.0,1800.0,0.17297979797979798,12.71589776896258,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WEBER OAKS SEC 01,"1,800","1,865",2,,WEBER OAKS SECTION 1 LOT 23,Frame Garage,400,Frame,1,"7,536",23,,MIAMI TWP,0.173,SINGLE FAMILY,2022,,Full,,7,Colonial,755,,,,,,65,1,Central,Public,Public,,,,,,,
"6571 Jenna Ln, Loveland, OH 45140",4.0,5.0,4106.0,0.5821854912764004,13.617059619240436,3,13,Central,1,Wood Stove,Average,,,Brick,Residential,WOODS AT MIAMI TRAILS SE 11 BL A PH 2,"3,368","4,028",2,,WOODS AT MIAMI TRAILS SECTION 11 BLOCK A PHASE 2 LOT 599,Masonry/Brick Garage,660,Masonry/Brick,1,"25,361",599,,MIAMI TWP,0.5822,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,153",A,,,,,660,1,Central,,,,,,,,,
"218 Obannon Ave, Loveland, OH 45140",2.0,1.0,1512.0,0.2579889807162534,12.367340793126296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"218 Obannon Ave, Loveland, OH 45140",3.0,2.0,1512.0,0.20798898071625344,12.367340793126296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"218 Obannon Ave, Loveland, OH 45140",3.0,2.5,2004.0,0.02899449035812672,12.367340793126296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"218 Obannon Ave, Loveland, OH 45140",3.0,2.5,2004.0,0.05697887970615243,12.367340793126296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12100 Rich Rd, Loveland, OH 45140",3.0,2.0,1713.0,0.22999999999999998,12.721885810807203,2,,,1,,Average,Concrete Block,Frame,Frame/Masonry,,LOVELAND PARK,"1,713","3,866",1,1  1/2,RICH RD 0.230 AC R2-T4-S13,Attached Frame Garage,440,Attached Frame,1,"10,019",3409,,SYMMES TOWNSHIP,0.23,SINGLE FAMILY,2022,,Full,Gas,6,Conventional,"1,713",,100,300,RESID-SINGLE FAMILY,Connected,"1,713",,Central,,,,,,C,,,
"190 N Wall St, Loveland, OH 45140",2.0,1.0,772.0,0.14097796143250688,12.206072645530174,1,,,,,Fair,,Frame,Frame Siding,,BONNYDALE,772,"1,544",1,1,ES WALL ST 0.141 AC PT LOT 14 -158 BONNEYDALE 2ND SUB,Detached Frame Garage,288,Detached Frame,1,"6,142",14,,LOVELAND CITY,0.141,SINGLE FAMILY,2022,,Full,Gas,4,Conventional,772,,150,25,RESID-SINGLE FAMILY,Connected,772,,Central,,,,,,,,,
"6719 Deerview Dr, Loveland, OH 45140",4.0,4.0,3380.0,0.7,13.42984807715229,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,ESTATES AT MIAMI TRAILS SEC 1,"3,390","4,022",2,,ESTATES AT MIAMI TRAILS SECTION 1 LOT 66,Masonry/Brick Garage,670,Masonry/Brick,1,"30,013",66,,MIAMI TWP,0.689,SINGLE FAMILY,2022,,Full,Gas,9,Colonial,"1,222",,,,,Available,632,1,Central,Public,Public,,,,,,,
"858 Veralois Ln, Loveland, OH 45140",3.0,1.0,1380.0,0.5349862258953169,12.154779351142624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5060 Charles Snider Rd, Loveland, OH 45140",2.0,2.0,1520.0,0.11898530762167125,12.345834587905333,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,VILLAGES OF BELMONT SEC 1A PH 1,"1,474","1,474",1,,VILLAGES OF BELMONT SECTION 1A PHASE 1 (REPLAT) LOT 4901 SEE 112203A302T FOR TIF,Frame Garage,400,Frame,1,"5,184",4901,,GOSHEN TWP,0.119,TOWNHOME - OUTER,2022,,,,6,Condominium,"1,474",,,,,,,,Central,,,,,,,,,
"6367 Barre Rd, Loveland, OH 45140",2.0,1.0,676.0,0.2609963269054178,12.154779351142624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9828 Laurel Glen Dr, Loveland, OH 45140",3.0,3.0,2423.0,2.248393021120294,13.345506928718539,2,10,Heat Pump,1,1 Opening,Good,Concrete,Brick,Masonry,Single Family,LAUREL GLEN,"2,423","3,418",1,1,LAUREL GLEN LOT# 35,Attached Garage,995,Attached,1,"97,940",35,,HAMILTON TWP,2.2484,SINGLE FAMILY DWELLING,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,,1,,,,,Building,,,,,
"6456 Brittany Ln, Loveland, OH 45140",3.0,3.0,1836.0,0.3199954086317723,12.959844447906553,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,MUELLER MEADOW SEC 5,"1,902","2,574",2,,MUELLER MEADOW SECTION V LOT 103,Frame Garage,458,Frame,1,"14,026",103,,MIAMI TWP,0.322,SINGLE FAMILY,2022,,Full,,6,Conventional,558,,,,,,672,,Central,Public,Public,,,,,,,
"508 Lowell Ave, Loveland, OH 45140",2.0,1.0,1228.0,0.05098714416896235,12.100712129872347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10613 Route 48, Loveland, OH 45140",4.0,3.5,2625.0,6.006290174471992,11.918390573078392,3,13,Forced Air,1,1 Opening,Good,Concrete,Frame/Masonry,,Single Family,HAMILTON,"3,835","4,435",1.5,1  1/2,MS-2192 6.0063 AC.,Attached Garage,"1,800",Attached,1,"261,634",,,HAMILTON TWP,6.0063,SGL FAM DWG 0-9.99 AC,2022,LOVELAND CSD,Full,,,,,,,,,,"1,000",1,,,,Finished,Building,,,,,
"9967 Adams Ave, Loveland, OH 45140",3.0,2.5,2004.0,0.05697887970615243,11.938193200374572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venice St, Loveland, OH 45140",2.0,1.0,808.0,0.012993572084481176,12.100712129872347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venice St, Loveland, OH 45140",3.0,1.0,1228.0,0.05098714416896235,12.100712129872347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venice St, Loveland, OH 45140",2.0,1.0,808.0,0.05098714416896235,12.100712129872347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1818 Pheasant Hills Dr, Loveland, OH 45140",4.0,3.0,2289.0,0.6199954086317723,12.6112043647371,2,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,PHEASANT HILLS SUB,"2,289","3,244",2,2,PHEASANTHILLS DR 88.23 X 220.44 IRR - LOT 31 PHEASANT HILLS SUB BLK,Attached Brick Garage,441,Attached Brick,1,"27,181",31,,LOVELAND CITY,0.624,SINGLE FAMILY,2022,,Partial,Gas,8,Conventional,914,A,220.44,88.23,RESID-SINGLE FAMILY,Connected,914,1,,,,,,2,,,,
"6314 Paxton Woods Dr, Loveland, OH 45140",4.0,4.0,2254.0,0.3390036730945822,12.92391243868049,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,MUELLER MEADOW SEC 2,"2,254","2,590",2,,MUELLER MEADOW 2A LOT 47,Masonry/Brick Garage,420,Masonry/Brick,1,"14,767",47,,MIAMI TWP,0.339,SINGLE FAMILY,2022,,Full,Gas,7,Colonial,728,,,,,Available,336,1,Central,Public,Public,,,,,,,
"6686 Morgans Run, Loveland, OH 45140",4.0,3.5,2841.0,5.0,13.715690222682063,3,13,Central,1,Wood Stove,Average,,,Brick,Residential,BLACK HORSE RUN,"2,841","3,943",1.5,,,Masonry/Brick Garage,888,Masonry/Brick,1,"217,800",,,MIAMI TWP,5,SINGLE FAMILY,2022,,Full,Gas,8,Cape Cod,"1,138",B,,,,Available,"1,102",1,Central,Public,Public,,,,,,,
"6981 Greenstone Trce, Loveland, OH 45140",3.0,2.5,2004.0,0.4599862258953168,12.756235321835604,,,,,,,,,,,ENCLAVE AT OBANNON CREEK,,,,,ENCLAVE AT OBANNON CREEK LOT 2 SEE 112202B283T FOR TIF.,,,,,"20,016",2,,GOSHEN TWP,0.4595,RESID VACANT LAND,2022,,,,,,,,,,,,,,,,,,,,,,,
"327 Wall St, Loveland, OH 45140",2.0,1.0,1104.0,0.289,12.35017298950393,1,,,,,Good,Concrete Block,,Frame Siding,,CLARK ADD TO LOVELAND,"1,104","1,872",1,1,327 WALL ST 50 X 233.63 IRR LOTS 6-7 CLARK ADDN TO LOVE-LAND SQ 3- PARS 49-50 CONS,Detached Frame Garage,672,Detached Frame,1,"12,589",6,,LOVELAND CITY,0.289,SINGLE FAMILY,2022,,Full,Gas,5,Conventional,"1,104",3,233.63,50,RESID-SINGLE FAMILY,Connected,768,,Central,,,,,,,,,
"9967 Adams Ave, Loveland, OH 45140",2.0,1.0,1085.0,0.057,11.938193200374572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10755 Bentley Pass Ln, Loveland, OH 45140",5.0,4.0,3072.0,0.8360422405876952,13.345506928718539,3,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,BENTLEY PASS SUB,"3,072","5,264",2,2,BENTLEYPASS LA 130.69 X 278.35 IR LOT 4 BENTLEY PASS SUB,Attached Brick Garage,484,Attached Brick,1,"19,471",4,,SYMMES TOWNSHIP,0.447,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"1,708",,278.35,130.69,RESID-SINGLE FAMILY,Connected,"1,708",1,Central,,,,,2,A,,,
"11751 Enyart Rd, Loveland, OH 45140",4.0,1.0,1477.0,0.545,12.506177237980511,1,,,1,,Average,Concrete Block,,Stone,,SYMMES CRK SUB,"1,477","2,859",1,1,WS ENYARD 104 X 225 R2-T4-S25 SW,Attached Frame Garage,384,Attached Frame,1,"23,740",119,,SYMMES TOWNSHIP,0.545,SINGLE FAMILY,2022,,Full,Gas,6,Conventional,998,,225,104,RESID-SINGLE FAMILY,Connected,998,,Central,,,,,1,A,,,
"615 W Hanna Ave, Loveland, OH 45140",4.0,3.0,3346.0,0.8699954086317723,13.308842944346948,2,10,Central,1,Wood Stove,Average,,,Brick,Residential,RIVERSIDE HILLS,"3,241","3,700",2,,RIVERSIDE HILLS LOT 33,Masonry/Brick Garage,420,Masonry/Brick,1,"37,679",33,,MIAMI TWP,0.865,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,286",,,,,Available,459,1,Central,Public,Public,,,,,,,
"9544 Union Cemetery Rd, Loveland, OH 45140",3.0,1.0,6330.0,3.787993572084481,14.53335035111459,4,,,3,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,LAND CONVEYED TO KEVIN &amp; DEA,"6,330","12,277",2,2,NS UNION CEMETERY RD 3.768 ACS R2-T4-S19,Attached Frame Garage,"1,066",Attached Frame,1,"164,134","25,26",,SYMMES TOWNSHIP,3.768,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"4,881",B,,,RESID-SINGLE FAMILY,Connected,"4,881",2,Central,,,,,2,A,,,
"79 Miamiview Dr, Loveland, OH 45140",4.0,1.0,1598.0,0.3,12.47227568630483,1,,,1,,Very Good,Concrete,Brick,Brick,,STONEYBROOK,"1,598","1,598",1,1,MIAMIVIEW DR 55.26 X 211.86 IRR-LOT 102 STONEYBROOK BLK C,Detached Frame Garage,400,Detached Frame,1,"13,068",102,,LOVELAND CITY,0.3,SINGLE FAMILY,2022,,Finished,Gas,7,Conventional,"1,598",C,211.86,55.26,RESID-SINGLE FAMILY,Connected,,,,,,,,,,,,
"216 Sentry Hill Dr, Loveland, OH 45140",4.0,4.0,3517.0,0.471,13.38472764187182,2,10,Forced Air,1,1 Opening,Average,Concrete,Brick,Masonry,Single Family,SENTRY HILL,"3,517","3,979",2,2,SENTRY HILL LOT# 8,,630,,1,"20,517",8,,LOVELAND,0.471,SINGLE FAMILY DWELLING,2022,LOVELAND CSD,Full,,,,,,,,,,,1,,,,,,,,,,
"6142 Weber Oaks Dr, Loveland, OH 45140",3.0,3.0,1494.0,0.2419880624426079,12.54966234992025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9412 Nolin Orchard Ln, Loveland, OH 45140",3.0,2.5,2004.0,0.18817722681359045,13.372848128264758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9440 Butterworth Rd, Loveland, OH 45140",3.0,2.5,2004.0,23.999885215794308,14.946912669455374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6183 Spires Dr, Loveland, OH 45140",5.0,3.0,2429.0,0.2,12.834681304952548,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 3,"2,429","2,527",2,,ASHTON WOODS SECTION 3 BLOCK A LOT 146,Frame Garage,462,Frame,1,"8,716",146,,MIAMI TWP,0.2001,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,014",A,,,,,98,1,Central,Public,Public,,,,,,,
"11891 Stonemark Ln, Loveland, OH 45140",4.0,4.5,3833.0,0.4589990817263544,13.681979165339751,4,,,4,3 Openings,Average,,,Brick,,STONEBRIDGE FARMS SUB,"5,333","6,591",2,,STONEMARK LN 107.53 X 170.18 IRR LOT 87 STONEBRIDGE FARMS SUB BL D PT 2,Attached Brick Garage,672,Attached Brick,1,"19,994",87,,SYMMES TOWNSHIP,0.459,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"2,136",D,170.18,107.53,RESID-SINGLE FAMILY,Connected,"2,086",1,Central,,,Finished,,,A,,,
"614 Park Ave, Loveland, OH 45140",3.0,2.0,1262.0,0.2899908172635445,12.528156144699286,1,,,,,Average,,,Frame Siding,,G C HILLS ADD SUB,"1,262","1,262",2,,PARK AVE 50 X 251.50 IRR LOT 10 G C HILLS ADDN SUB,,,,1,"12,632",10,,LOVELAND CITY,0.29,SINGLE FAMILY,2022,,Crawl-Space,Gas,6,Conventional,611,,251.5,50,RESID-SINGLE FAMILY,Connected,,1,Central,,,,,,,,,
"11602 Symmescreek Dr, Loveland, OH 45140",3.0,2.5,2594.0,0.5009871441689624,13.304684934198283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6569 Pinehurst Ln, Loveland, OH 45140",3.0,4.0,4030.0,0.45,13.317930160948304,3,13,Central,1,Wood Stove,Average,,,Brick,Residential,BAYHILL AT THE OASIS,"4,030","4,030",1,,BAYHILL AT THE OASIS LOT 27,Masonry/Brick Garage,490,Masonry/Brick,1,"19,994",27,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,,9,Ranch,"2,990",,,,,,995,1,Central,Public,Public,Finished,,,,,,
"337 Miami Valley Dr, Loveland, OH 45140",4.0,3.0,2190.0,0.5,12.644327576461329,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,INDIAN LOOKOUT SEC 01,"2,190","2,892",2,,INDIAN LOOKOUT LOT 23,Masonry/Brick Garage,528,Masonry/Brick,1,"21,780",23,,MIAMI TWP,0.5,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,480,,,,,Available,702,1,Central,Public,Public,,,,,,,
"9233 Souffle Cir, Loveland, OH 45140",4.0,2.5,2749.0,0.379981634527089,13.083622549087899,2,,,1,,Good,Concrete Block,Brick/Frame,Frame/Masonry,,SYMMES TRACE SUB,"3,749","4,855",2,2,SOUFFLE CIRCLE 56.16 X 189.49 IRR LOT 32 SYMMES TRACE SUB BLK A PT 2,Attached Brick Garage,552,Attached Brick,1,"16,553",32,,SYMMES TOWNSHIP,0.38,SINGLE FAMILY,2022,,Partial,Gas,9,Conventional,"1,554",A,189.49,56.16,RESID-SINGLE FAMILY,Connected,"1,554",1,Central,,,,,2,A-2,,,
